InvoiceID	LinkedAccountId	LinkedAccountName	TotalCost	Shared
151450901	759850000000	Citi PCF Sandbox	$3,759.13 	n
151450901	654430000000	Hybrid Cloud OPS Demo	$194.11 	n
151450901	53287813144	GCG AWS Connect -POC	$1,330.21 	n
151450901	902206000000	Guard Duty LAB	$23.09 	y
151450901	382611000000	GCG GPU Analytics -POC	$12,368.53 	n
151450901	883722000000	AWS CTI Hybrid Cloud 169643	$421.56 	y
151450901	587729000000	CTO CATE ECS - SANDBOX	$42,337.51 	n
151450901	14033327037	Citi AWS Event Cloud 164167a	$701.17 	n
151450901	108756000000	CTI AWS SF_165470	$0.06 	n
151450901	368563000000	Hybrid Cloud ( To Be Activated1)	$0.93 	n
153589787	945880000000	AWS Billing	$24,621.76 	y
151450901	997101000000	ICG Custodial Services - POC	$150.24 	n
151450901	811122000000	Event Cloud Prod 164167	$116.66 	n
151450901	955555000000	CTI AWS XCS on ECS_170484	$0.78 	n
151450901	100124000000	CitiHPC Grid Dev	$175.43 	n
151450901	528885000000	CitiHPC Grid Prod	$265,684.71 	n
151450901	546156000000	INNOVATION  CATE - LAB	$6,990.56 	n
151450901	230228000000	GCG-AWS-CRS Credit Bot	$0.96 	n
151450901	318263000000	Google CloudHunter Splunk Prod	$0.03 	y
151450901	542457000000	CTI Shared Services	$7,461.03 	y
151450901	613165000000	CTI  ECS OpenShift- DEV	$196.22 	n
151450901	376436000000	Hybrid Cloud(To Be Activated 2)	$56.28 	n
151450901	101280000000	ICG Developer Workspace -POC	$2,169.43 	n
151450901	96305855586	CTO ACE MAAS GRID  - DEV	$119.98 	n
151450901	458777000000	CTI AWS AC-171420	$0.12 	n
151450901	657054000000	CTO ACE MAAS GRID - PROD	$3,246.71 	n
