NAME                            NETWORK    DEST_RANGE      NEXT_HOP                  PRIORITY
default-route-10f8ddbfaa2f40d4  maautovpc  10.119.80.0/21  maautovpc                 1000
default-route-15e2463c94cfce89  myautovpc  10.119.64.0/21  myautovpc                 1000
default-route-2495ed0de313a0f0  myautovpc  0.0.0.0/0       default-internet-gateway  1000
default-route-310935c94b373748  newvpc     10.160.0.0/20   newvpc                    1000
default-route-34abced0efa1c6c4  newvpc     10.146.0.0/20   newvpc                    1000
default-route-432eef987aabbb23  maautovpc  0.0.0.0/0       default-internet-gateway  1000
default-route-43af9fc633db7be1  newvpc     10.168.0.0/20   newvpc                    1000
default-route-6169703c33a625ce  newvpc1    0.0.0.0/0       default-internet-gateway  1000
default-route-626841f0710d99cd  myautovpc  10.119.80.0/26  myautovpc                 1000
default-route-658ca72d3ba15200  newvpc     10.152.0.0/20   newvpc                    1000
default-route-6daa7f8f54c171c1  newvpc     10.138.0.0/20   newvpc                    1000
default-route-73d286eb5e19b537  newvpc     10.164.0.0/20   newvpc                    1000
default-route-7d14a18e3e4563ca  newvpc     10.128.0.0/20   newvpc                    1000
default-route-8155790932d4a944  newvpc     10.158.0.0/20   newvpc                    1000
default-route-824aef4cdf18e3b9  maautovpc  10.119.64.0/26  maautovpc                 1000
default-route-8931f3e0b85d9f03  newvpc     10.132.0.0/20   newvpc                    1000
default-route-a7e71c4a01c02227  newvpc     10.154.0.0/20   newvpc                    1000
default-route-aa99e92c6f4a579f  newvpc     10.156.0.0/20   newvpc                    1000
default-route-b771396bf6447f44  newvpc     10.140.0.0/20   newvpc                    1000
default-route-b84c274802d7eb4f  myabvpc    10.119.64.0/21  myabvpc                   1000
default-route-c50a02e350b6bb90  myabvpc    10.119.80.0/26  myabvpc                   1000
default-route-c6e11205e6e47ddd  newvpc     10.166.0.0/20   newvpc                    1000
default-route-c754d55203b28bdd  newvpc     10.150.0.0/20   newvpc                    1000
default-route-c7631600a9a33d9c  newvpc     10.148.0.0/20   newvpc                    1000
default-route-d1024822cd6544a9  newvpc     10.162.0.0/20   newvpc                    1000
default-route-ebe0e16eb6d70201  newvpc     10.142.0.0/20   newvpc                    1000
default-route-f06d36f0c2f16453  myabvpc    0.0.0.0/0       default-internet-gateway  1000
default-route-f390fe40fca22e15  newvpc     0.0.0.0/0       default-internet-gateway  1000
